id,fecha_hora,numero,jugadores_presentes,velocity,direction,strategy,fichas,ganancia,saldo,opcion_apuesta,categoria,aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36
2.0,2025-05-09 14:35:35,27.0,7,61.81905738733348,antihorario,martingala,1.0,1000.0,11500.0,rojo,rojo,0,0,0,0,0,0
3.0,2025-05-09 14:36:18,11.0,15,56.96442199531855,horario,martingala,1.0,1000.0,12000.0,impar,negro,1,1,1,1,1,1
4.0,2025-05-09 14:36:56,13.0,12,53.001387635067296,antihorario,martingala,1.0,1000.0,12500.0,negro,negro,2,1,2,2,2,2
5.0,2025-05-09 14:37:39,20.0,1,52.26284039686283,horario,martingala,1.0,1000.0,13000.0,negro,negro,3,1,3,3,3,3
6.0,2025-05-09 14:38:24,28.0,1,55.85318361545595,antihorario,martingala,1.0,1000.0,13500.0,negro,negro,4,1,4,4,4,4
7.0,2025-05-09 14:39:05,27.0,1,52.27431277394649,horario,martingala,1.0,-500.0,12500.0,negro,rojo,5,1,5,5,5,5
8.0,2025-05-09 14:39:50,20.0,1,45.93172579408513,antihorario,martingala,2.0,2000.0,13500.0,19-36,negro,1,2,6,6,6,6
9.0,2025-05-09 14:40:27,25.0,12,57.40701439393621,horario,martingala,1.0,1000.0,14000.0,19-36,rojo,2,1,7,7,7,7
10.0,2025-05-09 14:41:13,23.0,1,60.87003794419891,antihorario,martingala,1.0,1000.0,14500.0,rojo,rojo,1,2,8,8,8,8
11.0,2025-05-09 14:41:59,0.0,1,52.804929936507996,horario,martingala,1.0,-500.0,13500.0,rojo,0,1,3,9,9,9,9
12.0,2025-05-09 14:42:36,22.0,1,51.8958127816666,antihorario,martingala,2.0,-1000.0,11500.0,impar,negro,2,4,10,10,10,10
13.0,2025-05-09 14:43:15,2.0,1,53.488024446625296,horario,martingala,4.0,4000.0,13500.0,negro,negro,3,1,11,11,11,11
14.0,2025-05-09 14:44:03,18.0,12,58.09156133600887,antihorario,martingala,1.0,1000.0,14000.0,par,rojo,4,1,12,12,12,12
15.0,2025-05-09 14:44:46,21.0,12,50.44467451830908,horario,martingala,1.0,1000.0,14500.0,rojo,rojo,1,2,13,13,13,13
16.0,2025-05-09 14:45:23,11.0,12,51.52840791661784,antihorario,martingala,1.0,1000.0,15000.0,impar,negro,1,3,14,14,14,14
17.0,2025-05-09 14:46:07,3.0,12,43.072327116708585,horario,martingala,1.0,1000.0,15500.0,impar,rojo,2,1,15,15,15,15
18.0,2025-05-09 14:46:48,16.0,12,56.2342615624857,antihorario,martingala,1.0,1000.0,16000.0,rojo,rojo,1,2,16,16,16,16
19.0,2025-05-09 14:47:33,15.0,12,55.47356991843194,horario,martingala,1.0,1000.0,16500.0,1-18,negro,1,3,17,17,17,17
20.0,2025-05-09 14:48:17,3.0,12,45.323456758792425,antihorario,martingala,1.0,1000.0,17000.0,impar,rojo,2,1,18,18,18,18
21.0,2025-05-09 14:48:56,16.0,12,53.88571068272015,horario,martingala,1.0,1000.0,17500.0,rojo,rojo,1,2,19,19,19,19
22.0,2025-05-09 14:49:42,17.0,12,43.027569945705785,antihorario,martingala,1.0,1000.0,18000.0,1-18,negro,1,3,20,20,20,20
23.0,2025-05-09 14:50:29,30.0,12,56.75102689631086,horario,martingala,1.0,-500.0,17000.0,negro,rojo,2,1,21,21,21,21
24.0,2025-05-09 14:51:11,18.0,12,57.90950451532266,antihorario,martingala,2.0,2000.0,18000.0,rojo,rojo,1,2,22,22,22,22
25.0,2025-05-09 14:51:47,4.0,12,57.39179595481805,horario,martingala,1.0,1000.0,18500.0,par,negro,1,3,23,23,23,23
26.0,2025-05-09 14:52:31,12.0,12,50.19884225732507,antihorario,martingala,1.0,1000.0,19000.0,par,rojo,2,1,24,24,24,24
27.0,2025-05-09 14:53:13,1.0,12,49.56814000899058,horario,martingala,1.0,1000.0,19500.0,1-18,rojo,1,2,25,25,25,25
29.0,2025-05-09 15:13:22,19.0,0,47.901298496170476,horario,martingala,4.0,4000.0,10000.0,19-36,rojo,1,3,26,26,26,26
30.0,2025-05-09 15:14:04,18.0,0,49.09111466892201,antihorario,martingala,1.0,1000.0,10500.0,rojo,rojo,1,4,27,27,27,27
31.0,2025-05-09 15:14:52,36.0,0,57.03589474488708,horario,martingala,1.0,1000.0,11000.0,rojo,rojo,1,5,28,28,28,28
32.0,2025-05-09 15:19:07,25.0,28,48.6006525441851,horario,martingala,2.0,2000.0,11000.0,rojo,rojo,1,6,29,29,29,29
33.0,2025-05-09 15:19:47,16.0,28,31.66139909675696,antihorario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,7,30,30,30,30
34.0,2025-05-09 20:09:08,24.0,0,46.8215171599922,antihorario,martingala,2.0,2000.0,11000.0,negro,negro,1,8,31,31,31,31
35.0,2025-05-09 20:09:49,26.0,0,43.32702726086685,sin cambio,martingala,1.0,1000.0,11500.0,negro,negro,2,1,32,32,32,32
36.0,2025-05-09 20:10:31,6.0,0,52.55191337677591,antihorario,martingala,1.0,1000.0,12000.0,negro,negro,3,1,33,33,33,33
37.0,2025-05-09 20:11:14,16.0,0,49.710625784325124,horario,martingala,1.0,1000.0,12500.0,par,rojo,4,1,34,34,34,34
38.0,2025-05-09 20:16:16,22.0,78,43.67185612761564,antihorario,martingala,2.0,2000.0,11000.0,negro,negro,1,2,35,35,35,35
39.0,2025-05-09 20:16:57,7.0,78,57.409229457680986,horario,martingala,1.0,-500.0,10000.0,negro,rojo,2,1,36,36,36,36
41.0,2025-05-09 20:18:22,14.0,38,62.10524310821151,horario,martingala,1.0,1000.0,11500.0,1-18,rojo,1,2,37,37,37,37
42.0,2025-05-09 20:18:23,14.0,38,52.558194400523,horario,martingala,2.0,2000.0,11000.0,1-18,rojo,1,3,38,38,38,38
43.0,2025-05-09 20:21:58,6.0,28,60.40026547362172,antihorario,martingala,2.0,2000.0,11000.0,par,negro,1,4,39,39,39,39
45.0,2025-05-10 10:27:25,15.0,15,56.25938556449955,horario,martingala,2.0,2000.0,11000.0,impar,negro,2,1,40,40,40,40
46.0,2025-05-10 10:40:01,17.0,11,46.391029088217536,horario,dalembert,2.0,2000.0,11000.0,negro,negro,3,1,41,41,41,41
47.0,2025-05-10 10:40:41,27.0,15,59.18241471678463,antihorario,dalembert,1.0,1000.0,11500.0,impar,rojo,4,1,42,42,42,42
48.0,2025-05-10 10:41:23,16.0,15,46.59209159039845,horario,dalembert,1.0,1000.0,12000.0,rojo,rojo,1,2,43,43,43,43
49.0,2025-05-10 10:42:11,0.0,15,58.50157486699866,antihorario,dalembert,1.0,-500.0,11000.0,rojo,0,1,3,44,44,44,44
50.0,2025-05-10 10:42:53,27.0,15,52.55979128180792,horario,martingala,2.0,2000.0,12000.0,impar,rojo,2,4,45,45,45,45
51.0,2025-05-10 10:43:33,7.0,15,48.45035715848767,antihorario,martingala,1.0,1000.0,12500.0,rojo,rojo,1,5,46,46,46,46
52.0,2025-05-10 10:45:03,23.0,15,58.4098759212868,antihorario,martingala,1.0,1000.0,13000.0,rojo,rojo,1,6,47,47,47,47
54.0,2025-05-10 10:45:44,7.0,15,47.40287387189944,horario,martingala,1.0,1000.0,14000.0,rojo,rojo,1,7,48,48,48,48
55.0,2025-05-10 10:47:11,1.0,15,43.764795278161806,horario,dalembert,1.0,1000.0,14500.0,rojo,rojo,1,8,49,49,49,49
57.0,2025-05-10 10:47:54,19.0,15,63.7558930605725,antihorario,martingala,1.0,1000.0,15500.0,rojo,rojo,1,9,50,50,50,50
58.0,2025-05-10 10:48:38,10.0,10,55.86206540700357,horario,martingala,1.0,-500.0,14500.0,rojo,negro,1,10,51,51,51,51
59.0,2025-05-10 10:49:22,25.0,10,58.5330999629389,antihorario,martingala,2.0,-1000.0,12500.0,negro,rojo,2,1,52,52,52,52
60.0,2025-05-10 10:50:08,30.0,15,49.9499117613609,horario,martingala,4.0,4000.0,14500.0,rojo,rojo,1,2,53,53,53,53
61.0,2025-05-10 10:50:52,7.0,15,46.545875329026366,antihorario,martingala,1.0,1000.0,15000.0,rojo,rojo,1,3,54,54,54,54
62.0,2025-05-10 10:51:32,21.0,13,48.96249348783851,horario,martingala,1.0,1000.0,15500.0,rojo,rojo,1,4,55,55,55,55
63.0,2025-05-10 10:52:16,19.0,15,50.0272761120757,antihorario,martingala,1.0,1000.0,16000.0,rojo,rojo,1,5,56,56,56,56
64.0,2025-05-10 10:52:58,23.0,15,57.28831930743974,horario,fibonacci,1.0,1000.0,16500.0,rojo,rojo,1,6,57,57,57,57
65.0,2025-05-10 10:53:42,13.0,15,62.24879744062904,antihorario,martingala,1.0,1000.0,17000.0,impar,negro,1,7,58,58,58,58
66.0,2025-05-10 10:54:24,24.0,15,46.52353701198609,horario,martingala,1.0,1000.0,17500.0,negro,negro,2,1,59,59,59,59
67.0,2025-05-10 10:55:06,31.0,16,54.18306100659899,antihorario,martingala,1.0,1000.0,18000.0,negro,negro,3,1,60,60,60,60
68.0,2025-05-10 10:55:49,33.0,15,47.473331277982425,horario,martingala,1.0,1000.0,18500.0,negro,negro,4,1,61,61,61,61
69.0,2025-05-10 10:56:32,31.0,16,49.69974456879925,antihorario,martingala,1.0,1000.0,19000.0,negro,negro,5,1,62,62,62,62
70.0,2025-05-10 10:57:12,19.0,15,46.082892453281,horario,martingala,1.0,1000.0,19500.0,impar,rojo,6,1,63,63,63,63
71.0,2025-05-10 10:57:55,19.0,15,48.576056642433166,antihorario,martingala,1.0,1000.0,20000.0,rojo,rojo,1,2,64,64,64,64
72.0,2025-05-10 10:58:37,34.0,18,49.40681902689732,horario,martingala,1.0,1000.0,20500.0,rojo,rojo,1,3,65,65,65,65
73.0,2025-05-10 10:59:24,9.0,15,46.55964673474872,antihorario,martingala,1.0,1000.0,21000.0,rojo,rojo,1,4,66,66,66,66
74.0,2025-05-10 11:26:59,32.0,0,49.14352504462992,sin cambio,martingala,2.0,2000.0,11000.0,rojo,rojo,1,5,67,67,67,67
76.0,2025-05-10 11:31:29,34.0,18,63.23899247869744,antihorario,martingala,2.0,2000.0,11000.0,par,rojo,1,6,68,68,68,68
77.0,2025-05-10 11:32:08,31.0,20,58.59639931129929,horario,martingala,1.0,1000.0,11500.0,19-36,negro,1,7,69,69,69,69
78.0,2025-05-10 11:33:29,24.0,19,59.85914627660039,horario,fibonacci,1.0,1000.0,12000.0,negro,negro,2,1,70,70,70,70
80.0,2025-05-10 11:34:16,31.0,10,55.21964513663052,antihorario,martingala,1.0,1000.0,13000.0,negro,negro,3,1,71,71,71,71
81.0,2025-05-10 11:34:57,15.0,16,54.36841576873589,horario,martingala,1.0,1000.0,13500.0,negro,negro,4,1,72,72,72,72
82.0,2025-05-10 11:35:42,14.0,15,46.813841733830074,antihorario,martingala,1.0,1000.0,14000.0,1-18,rojo,5,1,73,73,73,73
83.0,2025-05-10 11:36:28,5.0,16,46.45886916716332,horario,fibonacci,1.0,1000.0,14500.0,rojo,rojo,1,2,74,74,74,74
84.0,2025-05-10 11:37:08,5.0,10,49.467833113196605,antihorario,martingala,1.0,1000.0,15000.0,rojo,rojo,1,3,75,75,75,75
85.0,2025-05-10 11:38:31,35.0,13,62.918047782222004,antihorario,martingala,1.0,-500.0,14000.0,rojo,negro,1,4,76,76,76,76
87.0,2025-05-10 11:39:13,35.0,13,59.0613692515957,horario,fibonacci,1.0,1000.0,15500.0,negro,negro,2,1,77,77,77,77
88.0,2025-05-10 11:40:46,0.0,10,55.85548891954469,sin cambio,martingala,1.0,1000.0,15500.0,negro,0,3,1,78,78,78,78
89.0,2025-05-10 11:41:20,32.0,13,69.64126728244555,antihorario,martingala,1.0,-500.0,14500.0,negro,rojo,4,2,79,79,79,79
90.0,2025-05-10 11:42:51,25.0,0,50.769232055078156,antihorario,martingala,2.0,2000.0,15500.0,rojo,rojo,1,3,80,80,80,80
92.0,2025-05-10 11:50:38,15.0,18,51.482272301897595,horario,martingala,2.0,2000.0,11000.0,negro,negro,1,4,81,81,81,81
93.0,2025-05-10 11:52:01,7.0,18,49.37058093246926,horario,martingala,1.0,-500.0,10000.0,negro,rojo,2,1,82,82,82,82
98.0,2025-05-10 12:26:38,11.0,19,44.043570871738645,horario,martingala,1.0,-500.0,10000.0,rojo,negro,1,2,83,83,83,83
99.0,2025-05-10 12:27:18,9.0,19,54.235314920680814,antihorario,martingala,2.0,2000.0,11000.0,impar,rojo,2,1,84,84,84,84
100.0,2025-05-10 12:28:01,21.0,10,50.875806181790985,horario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,2,85,85,85,85
101.0,2025-05-10 12:28:46,28.0,10,56.24980451923094,antihorario,martingala,1.0,1000.0,12000.0,19-36,negro,1,3,86,86,86,86
102.0,2025-05-10 12:29:32,1.0,15,60.60418360992194,horario,martingala,1.0,-500.0,11000.0,negro,rojo,2,1,87,87,87,87
103.0,2025-05-10 12:30:14,31.0,16,45.14355027137396,antihorario,martingala,2.0,2000.0,12000.0,impar,negro,1,2,88,88,88,88
104.0,2025-05-10 12:30:56,1.0,10,49.59737691752783,horario,martingala,1.0,1000.0,12500.0,impar,rojo,2,1,89,89,89,89
105.0,2025-05-10 12:31:37,16.0,20,52.96965530299451,antihorario,martingala,1.0,1000.0,13000.0,rojo,rojo,1,2,90,90,90,90
106.0,2025-05-10 15:06:30,15.0,15,56.284369104548794,horario,martingala,16.0,-8000.0,-13000.0,rojo,negro,1,3,91,91,91,91
108.0,2025-05-10 15:07:55,23.0,13,45.38481989487733,horario,fibonacci,1.0,-500.0,2000.0,negro,rojo,2,1,92,92,92,92
110.0,2025-05-10 15:08:43,7.0,10,57.22042313818659,horario,martingala,1.0,1000.0,34500.0,rojo,rojo,1,2,93,93,93,93
111.0,2025-05-10 15:30:59,9.0,10,55.54420316824197,antihorario,martingala,2.0,2000.0,11000.0,rojo,rojo,1,3,94,94,94,94
112.0,2025-05-10 15:31:42,3.0,10,47.86109664003195,horario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,4,95,95,95,95
113.0,2025-05-10 15:32:28,13.0,10,44.539960941820105,antihorario,martingala,1.0,1000.0,12000.0,impar,negro,1,5,96,96,96,96
114.0,2025-05-10 15:33:09,15.0,10,46.53566118218108,horario,martingala,1.0,1000.0,12500.0,negro,negro,2,1,97,97,97,97
115.0,2025-05-10 15:45:22,15.0,0,45.3829898990442,horario,martingala,2.0,-1000.0,8000.0,rojo,negro,3,1,98,98,98,98
117.0,2025-05-10 15:49:43,32.0,13,38.75237594601661,sin cambio,martingala,2.0,2000.0,11000.0,rojo,rojo,4,1,99,99,99,99
118.0,2025-05-10 15:50:22,30.0,10,48.250151217328664,horario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,2,100,100,100,100
119.0,2025-05-10 15:51:09,18.0,10,48.7314131303831,antihorario,martingala,1.0,1000.0,12000.0,rojo,rojo,1,3,101,101,101,101
120.0,2025-05-10 15:51:53,28.0,10,45.74212364423888,horario,martingala,1.0,-500.0,11000.0,rojo,negro,1,4,102,102,102,102
121.0,2025-05-10 15:52:39,31.0,11,51.941193730204226,antihorario,martingala,2.0,-1000.0,9000.0,rojo,negro,2,1,103,103,103,103
122.0,2025-05-10 16:06:18,25.0,0,37.27729079967651,antihorario,martingala,2.0,2000.0,11000.0,rojo,rojo,3,1,104,104,104,104
127.0,2025-05-10 16:18:21,15.0,0,53.26898128217496,horario,martingala,2.0,-1000.0,8000.0,par,negro,1,2,105,105,105,105
128.0,2025-05-10 16:19:04,22.0,0,46.32701395016688,antihorario,martingala,4.0,4000.0,10000.0,negro,negro,2,1,106,106,106,106
129.0,2025-05-10 16:19:45,10.0,0,54.17918195658651,horario,martingala,1.0,1000.0,10500.0,negro,negro,3,1,107,107,107,107
