aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36,velocidad,dir_bin,jugadores,hora_norm,target
1,9,50,50,50,50,63.7558930605725,0,0.75,0.43478260869565216,19.0
1,10,51,51,51,51,55.86206540700357,1,0.5,0.43478260869565216,10.0
2,1,52,52,52,52,58.5330999629389,0,0.5,0.43478260869565216,25.0
1,2,53,53,53,53,49.9499117613609,1,0.75,0.43478260869565216,30.0
1,3,54,54,54,54,46.545875329026366,0,0.75,0.43478260869565216,7.0
1,4,55,55,55,55,48.96249348783851,1,0.65,0.43478260869565216,21.0
1,5,56,56,56,56,50.0272761120757,0,0.75,0.43478260869565216,19.0
1,6,57,57,57,57,57.28831930743974,1,0.75,0.43478260869565216,23.0
1,7,58,58,58,58,62.24879744062904,0,0.75,0.43478260869565216,13.0
2,1,59,59,59,59,46.52353701198609,1,0.75,0.43478260869565216,24.0
3,1,60,60,60,60,54.18306100659899,0,0.8,0.43478260869565216,31.0
4,1,61,61,61,61,47.473331277982425,1,0.75,0.43478260869565216,33.0
5,1,62,62,62,62,49.69974456879925,0,0.8,0.43478260869565216,31.0
6,1,63,63,63,63,46.082892453281,1,0.75,0.43478260869565216,19.0
1,2,64,64,64,64,48.576056642433166,0,0.75,0.43478260869565216,19.0
1,3,65,65,65,65,49.40681902689732,1,0.9,0.43478260869565216,34.0
1,4,66,66,66,66,46.55964673474872,0,0.75,0.43478260869565216,9.0
1,5,67,67,67,67,49.14352504462992,0,0.0,0.4782608695652174,32.0
1,6,68,68,68,68,63.23899247869744,0,0.9,0.4782608695652174,34.0
1,7,69,69,69,69,58.59639931129929,1,1.0,0.4782608695652174,31.0
2,1,70,70,70,70,59.85914627660039,1,0.95,0.4782608695652174,24.0
3,1,71,71,71,71,55.21964513663052,0,0.5,0.4782608695652174,31.0
4,1,72,72,72,72,54.36841576873589,1,0.8,0.4782608695652174,15.0
5,1,73,73,73,73,46.81384173383008,0,0.75,0.4782608695652174,14.0
1,2,74,74,74,74,46.45886916716332,1,0.8,0.4782608695652174,5.0
